"Address","Status Code","Title 1","Content Type","Status","Indexability","Indexability Status","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","category 1","product 1","URL Encoded Address","Crawl Timestamp"
"https://www.coxandcox.co.uk/","200","Cox & Cox | Furniture, Home Décor, Lighting & More","text/html; charset=UTF-8","OK","Indexable","","50","460","","0","0","","","","","","Your style, made to order","25","Your style, made to order","25","","","","","","","","","","","","","","","0","","4709","4026","99.950","410","253","","","","","","","","","","","","","HTTP/1.1","","","https://www.coxandcox.co.uk/","2021-09-08 16:13:05"
"https://www.coxandcox.co.uk/returns","200","Cox & Cox pride ourselves on our simple returns policy in the unlikely event you choose not to keep your purchase.","text/html; charset=UTF-8","OK","Indexable","","114","1000","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","1","","7203","4026","99.950","388","252","","","","","","","","","","","","","HTTP/1.1","","","https://www.coxandcox.co.uk/returns","2021-09-08 16:13:06"
"https://www.coxandcox.co.uk/outdoor/trends/","200","Trends - Outdoor","text/html; charset=UTF-8","OK","Indexable","","16","152","","0","0","","","","","","OUTDOOR TRENDS","14","OUTDOOR TRENDS","14","","","","","","https://www.coxandcox.co.uk/outdoor/trends/","","","","","","","","","1","","4036","4026","99.950","398","252","","","","","","","","","","","","","HTTP/1.1","Filter Outdoor Accessories Outdoor Furniture Planting Outdoor Lighting Trends","","https://www.coxandcox.co.uk/outdoor/trends/","2021-09-08 16:13:06"
"https://www.coxandcox.co.uk/christmas/","200","Christmas Decorations, Christmas Indoor Decorations | Cox & Cox","text/html; charset=UTF-8","OK","Indexable","","63","583","","0","0","","","","","","CHRISTMAS DECORATIONS","21","CHRISTMAS DECORATIONS","21","","","","","","https://www.coxandcox.co.uk/christmas/","","","","","","","","","1","","20167","4026","99.950","501","295","","","","","","","","","","","","","HTTP/1.1","","","https://www.coxandcox.co.uk/christmas/","2021-09-08 16:13:06"
"https://www.coxandcox.co.uk/furniture/dining-kitchen/dressers/","200","Dressers - Dining & Kitchen - Furniture","text/html; charset=UTF-8","OK","Indexable","","39","337","","0","0","","","","","","Dressers","8","","0","","","","","","https://www.coxandcox.co.uk/furniture/dining-kitchen/dressers/","","","","","","","","","1","","4031","4026","99.950","403","257","","","","","","","","","","","","","HTTP/1.1","Filter Dining Chairs Dining Tables Dressers Wine Cabinets Racks Stools Kitchen Islands & Units Benches","","https://www.coxandcox.co.uk/furniture/dining-kitchen/dressers/","2021-09-08 16:13:06"
"https://www.coxandcox.co.uk/inspiration/christmas-trends/campervan/","200","Campervan - Christmas Trends - Home Décor Ideas & Inspiration","text/html; charset=UTF-8","OK","Indexable","","61","573","","0","0","","","","","","CAMPERVAN","9","CAMPERVAN","9","","","","","","https://www.coxandcox.co.uk/inspiration/christmas-trends/campervan/","","","","","","","","","1","","8065","4026","99.950","405","258","","","","","","","","","","","","","HTTP/1.1","Filter Modern Abstract Industrial Neoclassical French Blue Traditional Scandinavian Lakehouse Magical Japandi Campervan","","https://www.coxandcox.co.uk/inspiration/christmas-trends/campervan/","2021-09-08 16:13:06"
"https://www.coxandcox.co.uk/inspiration/christmas-trends/neo-classical/","200","Neoclassical - Christmas Trends - Home Décor Ideas & Inspiration","text/html; charset=UTF-8","OK","Indexable","","64","582","","0","0","","","","","","NEOCLASSICAL","12","NEOCLASSICAL","12","","","","","","https://www.coxandcox.co.uk/inspiration/christmas-trends/neo-classical/","","","","","","","","","1","","8065","4026","99.950","467","289","","","","","","","","","","","","","HTTP/1.1","Filter Modern Abstract Industrial Neoclassical French Blue Traditional Scandinavian Lakehouse Magical Japandi Campervan","","https://www.coxandcox.co.uk/inspiration/christmas-trends/neo-classical/","2021-09-08 16:13:06"
"https://www.coxandcox.co.uk/storage/","200","Storage | Basket Storage | Chest of Drawers | Cox & Cox","text/html; charset=UTF-8","OK","Indexable","","55","509","","0","0","","","","","","STORAGE","7","STORAGE","7","","","","","","https://www.coxandcox.co.uk/storage/","","","","","","","","","1","","8120","4026","99.950","505","295","","","","","","","","","","","","","HTTP/1.1","","","https://www.coxandcox.co.uk/storage/","2021-09-08 16:13:07"
"https://www.coxandcox.co.uk/furniture/dining-kitchen/dining-chairs/","200","Dining Chairs - Dining & Kitchen - Furniture","text/html; charset=UTF-8","OK","Indexable","","44","372","","0","0","","","","","","Dining Chairs","13","","0","","","","","","https://www.coxandcox.co.uk/furniture/dining-kitchen/dining-chairs/","","","","","","","","","1","","4035","4026","99.950","475","292","","","","","","","","","","","","","HTTP/1.1","Filter Dining Chairs Dining Tables Dressers Wine Cabinets Racks Stools Kitchen Islands & Units Benches","","https://www.coxandcox.co.uk/furniture/dining-kitchen/dining-chairs/","2021-09-08 16:13:06"
"https://www.coxandcox.co.uk/furniture/bedroom/beds-headboards/","200","Beds & Headboards - Bedroom Furniture - Furniture","text/html; charset=UTF-8","OK","Indexable","","49","455","","0","0","","","","","","Beds & Headboards","17","","0","","","","","","https://www.coxandcox.co.uk/furniture/bedroom/beds-headboards/","","","","","","","","","1","","4032","4026","99.950","435","273","","","","","","","","","","","","","HTTP/1.1","Filter Wardrobes, Clothes Rails & Screens Ready to Deliver Beds & Headboards Beds & Headboards Bedside Tables Chests of Drawers Kid's Bedroom Dressing Tables & Stools Wardrobes","","https://www.coxandcox.co.uk/furniture/bedroom/beds-headboards/","2021-09-08 16:13:07"
"https://www.coxandcox.co.uk/blue-brass/","200","Blue, Brass & Mustard","text/html; charset=UTF-8","OK","Indexable","","21","198","","0","0","","","","","","BLUE, BRASS & MUSTARD","21","BLUE, BRASS & MUSTARD","21","","","","","","https://www.coxandcox.co.uk/blue-brass/","","","","","","","","","1","","4038","4026","99.950","475","293","","","","","","","","","","","","","HTTP/1.1","","","https://www.coxandcox.co.uk/blue-brass/","2021-09-08 16:13:06"
"https://www.coxandcox.co.uk/outdoor/lighting/","200","Modern Garden Lights, Exterior Wall Lights , Porch, Patio & Decking Lighting UK","text/html; charset=UTF-8","OK","Indexable","","79","705","","0","0","","","","","","Outdoor Lighting","16","","0","","","","","","https://www.coxandcox.co.uk/outdoor/lighting/","","","","","","","","","1","","16189","4026","99.950","474","292","","","","","","","","","","","","","HTTP/1.1","Filter Outdoor Accessories Outdoor Furniture Planting Outdoor Lighting Trends","","https://www.coxandcox.co.uk/outdoor/lighting/","2021-09-08 16:13:06"
"https://www.coxandcox.co.uk/outdoor/outdoor-furniture/lounge-sets/","200","Modern Garden Sofas, Luxury Outdoor Lounge Furniture, Sets & Garden Daybeds UK","text/html; charset=UTF-8","OK","Indexable","","78","755","","0","0","","","","","","Lounge & Corner Sets","20","","0","","","","","","https://www.coxandcox.co.uk/outdoor/outdoor-furniture/lounge-sets/","","","","","","","","","1","","4032","4026","99.950","419","265","","","","","","","","","","","","","HTTP/1.1","Filter Bistro Sets Benches & Chairs Outdoor Dining Tables & Chairs Lounge & Corner Sets Outdoor Side Tables Kids Outdoor Outdoor Hanging Chairs Daybeds & Loungers Furniture Covers","","https://www.coxandcox.co.uk/outdoor/outdoor-furniture/lounge-sets/","2021-09-08 16:13:07"
"https://www.coxandcox.co.uk/storage/utility-room/fireside/","200","Log Baskets & Storage, Indoor Log Holders, Fireplace Screens & Accessories UK","text/html; charset=UTF-8","OK","Indexable","","77","720","","0","0","","","","","","Fireside","8","","0","","","","","","https://www.coxandcox.co.uk/storage/utility-room/fireside/","","","","","","","","","1","","8058","4026","99.950","435","273","","","","","","","","","","","","","HTTP/1.1","Filter Fireside Utility & Laundry Room Pet Hardware","","https://www.coxandcox.co.uk/storage/utility-room/fireside/","2021-09-08 16:13:07"
"https://www.coxandcox.co.uk/indoor-living/decorative-home/gifts/food-drink-gifts/","200","Crockery Gift Items, Glassware & Cutlery Gift Sets, Dining Table Décor UK","text/html; charset=UTF-8","OK","Indexable","","73","662","","0","0","","","","","","GIFTS FOR ENTERTAINING","22","","0","","","","","","https://www.coxandcox.co.uk/indoor-living/decorative-home/gifts/food-drink-gifts/","","","","","","","","","1","","8062","4026","99.950","476","292","","","","","","","","","","","","","HTTP/1.1","Filter Gifts for Her Gifts for Him Gifts for Kids Gifts for Pets Gifts Under £50 Luxury Gifts Food & Drink Gifts Outdoor Gifts","","https://www.coxandcox.co.uk/indoor-living/decorative-home/gifts/food-drink-gifts/","2021-09-08 16:13:07"
"https://www.coxandcox.co.uk/indoor-living/decorative-home/kids/collections/lowen/","200","Lowen - Collections - Kids - Decorative Home - Indoor Living","text/html; charset=UTF-8","OK","Indexable","","60","529","","0","0","","","","","","Lowen","5","","0","","","","","","https://www.coxandcox.co.uk/indoor-living/decorative-home/kids/collections/lowen/","","","","","","","","","1","","4032","4026","99.950","403","256","","","","","","","","","","","","","HTTP/1.1","Filter Lowen Cubi Beach House Woodland Friends","","https://www.coxandcox.co.uk/indoor-living/decorative-home/kids/collections/lowen/","2021-09-08 16:13:07"
